[00:00:10,480] Speaker 0: 大家好，欢迎收听探极生物生存指南，我是爱读文献的梦妮。
[01:03:34,721] Speaker 0: 而燃油发动机的特点是它的涡轮又大又重，所以针对大飞机来说，你几乎就只能把它放在机翼下。
[01:03:44,001] Speaker 0: 而整个机械制动系统又非常复杂，所以涉及到上万个零件，要密封耐压耐热，非常复杂，导致呢它的响应速度也比较慢，你不太可能让它在几秒甚至几毫秒的时间内就改变速度。
[01:03:59,760] Speaker 0: 但是电机不一样，它又小又轻，因为它利用的是电磁感应，不会涉及到燃烧高温高压或者进气和排气系统，所以整体设计也非常简单轻巧。
[01:04:12,640] Speaker 0: 那也就意味着你可以把它放在飞机的任何位置。
[01:04:17,120] Speaker 0: 而又因为电机的系统简单，所以你可以在很短的时间内，几秒甚至几毫秒的时间完成速度的转变。
[01:04:26,721] Speaker 0: 你甚至也可以让多个电机共同配合。
[01:04:29,601] Speaker 0: 所以因此，你可以用一整套的软件来实时的控制和调整它们的能量传输功率。
[01:04:36,961] Speaker 0: 把这些放在一起，简单来说就是，如果我们真的可以解决储能问题，那电飞机将跟我们现在已有的飞机长得非常不一样。
[01:04:48,560] Speaker 0: 你几乎可以在任何地方实现垂直起降，不需要那么长的起飞跑道，整体速度的上升和下降都可以非常迅速，并且还会很安静，运营成本呢也会比较低，因为清洁能源电能都很便宜。
[01:05:04,880] Speaker 0: 也就是说，在现在新能源车里，你所享受的一切福利都可以复刻在飞机上，而且你可以重新设计飞机。
[01:05:14,641] Speaker 0: 也许五十年或者一百年后的飞机会长得跟现在很不一样。
[01:05:20,081] Speaker 0: 不过回到现实世界啊，我们离那一天还很远，但也有一些初步成果，让一些短途的轻载负的电飞机已经成为现实。
[01:05:30,400] Speaker 0: 那在全球的碳排放尺度上来说，这件事意义大吗？
[01:05:35,521] Speaker 0: 其实还是挺大的，因为实际上在飞机的整个飞行过程中，起飞和降落是最费油的。
[01:05:43,120] Speaker 0: 也因此，如果你去查数据，你会看到，其实在整个客运航班中，三分之一的碳排放量都来自于短途航班。
[01:05:52,801] Speaker 0: 而短途航班这里的定义呢，是指航程小于。
[01:05:55,600] Speaker 0: 一千五百公里的航班，所以如果我们能继续优化，能用电飞机取代部分或者说绝大部分的短途航班，那对于碳排放和气候危机来说也会是很重要的一步。
[01:06:09,359] Speaker 0: 而且我们不要忘记了，就像新能源车有油电双动力混合系统一样，飞机也可以用类似的模式一步一步完成转型。
[01:06:19,600] Speaker 0: 我们不需要它马上能取代大型的燃油客机，但每一点点小的进步对减少碳排放来说都很重要。
[01:06:28,959] Speaker 0: 而回到电池储能的问题上来说，电池技术也在持续发展过程中。
[01:06:34,959] Speaker 0: 跟太阳能和风能一样，我国在电池生产的技术和数量上也遥遥领先。
[01:06:41,999] Speaker 0: 就是说实话，你看这些所有的专家访谈所有的媒体报道和数据，它都指向了一件事，就是中国确实走在能源变革的前端。
[01:06:52,639] Speaker 0: 我们有技术，我们有规模。
[01:06:55,759] Speaker 0: 以去年为例，我国就生产制造着全世界百分之八十以上的电池。
[01:07:02,080] Speaker 0: 如果说在未来的清洁能源时代会有任何能源危机，那我们大概是全世界抗风险能力最高的地方。
[01:07:11,440] Speaker 0: 而我国电池技术优化呢，也在过去这一两年中有很多的大。
[01:07:15,759] Speaker 0: 工作，比如说我们最熟悉的电池是锂电池嘛？
[01:07:20,080] Speaker 0: 简单来说就是你在充电的时候，锂这个离子会从正极流向负极，然后你在放电的时候它就会从负极流到正极。
[01:07:30,640] Speaker 0: 但说实话以目前的技术来说，我们几乎已经把锂电池用到极致了就你很难在同样体积的电池下再塞下任何锂电子了。
[01:07:41,679] Speaker 0: 这个事情已经快被我们推到物理极限上了。
[01:07:45,679] Speaker 0: 但除了锂电池有一些很有趣的新方向比如说钠电池就我们不用锂用钠那它最显著的优势呢是可以耐低温这一点在寒冷地区比如说我国北方或者说未来应用到电飞机上可能都会很有帮助而有企业开始尝试推出了钠锂双电子混合系统它就可以根据气候的变化和需求实施调整能量来源。
[01:08:15,280] Speaker 0: 而除此之外，在电池产业还有一块研究值得大家关注，那就是固态电池这个方向。
[01:08:22,479] Speaker 0: 简单来说我们现在目前用到的大部分电池，离子能从正极到负极负极到正极都依靠中间的电解液。
[01:08:32,079] Speaker 0: 但电解液呢有几个问题就它可燃所以呢就非常有可能起火并且一旦起火因为它的化学性质所以就很难被扑灭而另外就是它占空间。
[01:08:44,479] Speaker 0: 那假设我们能有一个固态的电解质，理论上它就能更安全，并且能量密度可能就可以更高。
[01:08:54,000] Speaker 0: 那谁能首先突破这个验？
[01:08:55,519] Speaker 0: 有瓶颈，谁就能首先拥有更安全更轻更快充电速度和更高能量密度的电池？
[01:09:03,278] Speaker 0: 这些不管在电动汽车，在电动飞机领域，都将会有广泛的应用前景。
[01:09:09,358] Speaker 0: 说实话，电池这个领域我都觉得值得单独开一期播客，里面涉及到的化学原理，里面涉及到的故事都很有意思。
[01:09:18,718] Speaker 0: 不过今天呢我们就浅浅带过一下。
[01:09:22,078] Speaker 0: 而虽然电池发展还有很多瓶颈，但它能做到的也已经很多了。
[01:09:27,119] Speaker 0: 比如说在不那么在意重量和体积的应用场景里像是电动汽车或者日常的储能需求我假设啊如果我们每个人都在阳台上安装太阳能那白天它可以直接供电但要想晚上也用到清洁能源那我们就要储能.
[01:09:46,079] Speaker 0: 那在这个时候，电池稍微大一点重一点可能问题不会很大。
[01:09:51,678] Speaker 0: 你放在室内放在阳台或者放在户外都可以。
[01:09:56,159] Speaker 0: 而新能源的储能解决方案除了电池呢也还有很多其他方法能让我们在没有风没有太阳的晚上也能更少的依赖化石燃料更多的用到清洁能源当然跟太阳能一样电池本身也不是毫无问题的所有储能方式可能都是天下没。
[01:10:15,678] Speaker 0: 没有免费的午餐，但我们要看哪份午餐付出的代价更大。
[01:10:20,799] Speaker 0: 电池可以回收，可以再制作成电池或者充电循环使用，但煤炭石油用完了就还得再挖。
[01:10:29,598] Speaker 0: 据估计，目前每年有几百万人都因为吸入化石燃料燃烧产生的副产物而死亡。
[01:10:36,799] Speaker 0: 虽然现在的所有清洁能源也都不是零碳排放，所以理论上我们即使用现在的技术，即使全部用清洁能源，也还是会有碳排放。
[01:10:48,318] Speaker 0: 只是这个时间尺度可能可以被我们拉长，拉长到我们自己我们身边所有的植物动物，还有我们的城市都能有足够的时间去适应去改变。
[01:11:01,359] Speaker 0: 而与此同时，相信你会感到很欣慰的是，还有一些研究学者和企业机构在直接进行空气碳捕捉。
[01:11:09,998] Speaker 0: 这些技术在小范围内可行，但和很多新技术一样，它很贵。
[01:11:15,759] Speaker 0: 目前全球平均的人均碳排放一年在四到五吨左右，而目前的碳捕捉技术从空气中补回一吨的碳价格在二百五十美元左右。
[01:11:28,238] Speaker 0: 也就是说，如果我们要用碳捕捉的方式来完成碳中和，那我们每一个人平均下来每两到三个月就要掏出去一千七百块钱，在经济上这显然不现实。
[01:11:42,639] Speaker 0: 所以像这类的碳捕捉方案呢，目前的定位是零碳社会的最后一步。
[01:11:48,639] Speaker 0: 也因此，现在的我们还远远不能想着说可以碳捕捉，所以我不用节能减排，不用完成。
[01:11:55,438] Speaker 0: 新能源的转型。
[01:11:57,438] Speaker 0: 当然，如果我们从太阳能和风能那里学到了什么的话，那就是也许这些技术，不管是电池的储能技术，还是碳捕捉技术，在可预见的未来里，也许只是也许，成本都能大幅降低。
[01:12:14,878] Speaker 0: 而这些可能也将再一次改写整个世界的能源叙事。
[01:12:20,878] Speaker 0: 再回看关于气候和能源这两个宏大议题的历史演变上，我觉得有一点非常明确，就是人类不是全能的神。
[01:12:31,597] Speaker 0: 我们所有的预测最多只能叫预估，它带来了一些意料之外的惊喜，比如说新能源的推广速度和应用速度，但相应的可能也会预示着一些我们意料之外的灾难。
[01:12:46,477] Speaker 0: 一直到现在，我们也不知道海洋的流向在什么时间点会被完全改变。
[01:12:51,678] Speaker 0: 我们现在还来不来得及？
[01:12:53,438] Speaker 0: 是不是已经太晚了？
[01:12:55,597] Speaker 0: 就像科学界很多重要问题一样，我们能做的能测的能预估的还太有限了。
[01:13:01,838] Speaker 0: 我们没有办法回答这些重要的问题，我们没有办法给出一个准确的答案。
[01:13:07,358] Speaker 0: 我们只知道阻止全球变热这件事情已经不在考虑范围内了，它已经发生，并且将持续发生之后的每。
[01:13:15,597] Speaker 0: 每一年，极端气温可能会一次一次不断刷新我们的历史记录。
[01:13:21,677] Speaker 0: 但也许，也许我们还能做的，就是阻止这场气候危机发展到足以让文明崩溃的程度。
[01:13:31,198] Speaker 0: 如果你关注这方面的议题，你会发现大家在这样的巨大未知面前，有一些已然非常绝望，但也有一些充满乐观。
[01:13:42,237] Speaker 0: 我个人的态度大概是谨慎悲观，这件事情很难，我们的时间可能也不多了。
[01:13:49,838] Speaker 0: 但同时我也知道人类还是蛮神奇的，我们创造过奇迹。
[01:13:55,918] Speaker 0: 说实话，我还是始终不太能想象，我们是怎么在一九八五年臭氧层问题才被公开发表讨论，然后仅仅两年之后，蒙特利尔议定书就签署，在那个冷战末期，没有什么网络，没有手机，信息传播极慢的情况下，各个国家到底是怎么坐下来一起通过双边或者多边的渠道提供各种各样的津贴援助信贷担保，完成氟利昂的转型？
[01:14:24,958] Speaker 0: 而当时的科学家和媒体，或者像我这样的人，是怎么通过线下或者极其有限的线上方式把这些信息散播出去，让每个人都知道臭氧层，每个人都了解福利昂？
[01:14:38,877] Speaker 0: 我们是怎么让普通民众都在关心这所谓的远方的苦神，都在为环境为未来做出努力？
[01:14:47,757] Speaker 0: 在气候这个议题上，相信你经常能听到的一种宣传方式是。
[01:14:54,798] Speaker 0: 想一想。
[01:14:55,278] Speaker 0: 你今天的行为会给你的子孙后代带来怎样的未来？
[01:15:00,078] Speaker 0: 或是我们对我们的下一代需要有一个交代，我们对我们的下一代负有责任。
[01:15:06,637] Speaker 0: 可能是我比较自私吧。
[01:15:08,637] Speaker 0: 听到这样的话的时候，我从来没有觉得他特别打动我。
[01:15:12,957] Speaker 0: 我会觉得一代人有一代人的发展，一代人的发展会带来一些特定的问题，也许这就是他们需要去解决的问题。
[01:15:22,157] Speaker 0: 但真的在看到三四十年前的黑白照片，看到那时候的科学家据理力争，看到这份条约被世界上每一个国家都认可签署，并且不断的修改推进，我突然就意识到，我们现在能看到阳光，能感受微风，能不用建设地下堡垒，适应地下暗无天日的生活，是因为八十年代的我们做到了。
[01:15:47,358] Speaker 0: 而这份地球美丽的迷人的景象，是不是能以同样的方式交到下一代手里？
[01:15:54,318] Speaker 0: 真的就是我们的责任，这是每一代人对下一代人应尽的义务，也是最美好的祝福。
[01:16:02,158] Speaker 0: 我希望你能感受到我当年感受到的微风轻拂，阳光普照。
[01:16:09,277] Speaker 0: 而要做到这一点，我觉得很难只靠宣传，只靠意识，因为新的。
[01:16:15,277] Speaker 0: 能源发展的转折点，几乎都是建立在真正的需求之上的，都是建立在更便宜更实用更有自主权的能源选择上的。
[01:16:25,997] Speaker 0: 它需要一个很实际的抓手，不能只靠意识。
[01:16:30,077] Speaker 0: 但同时，我也坚定地相信，面对这么一个宏大的全人类的议题上，不能没有意识。
[01:16:37,518] Speaker 0: 因为如果是那样，像太阳能板回收像碳捕捉等等这样新兴技术的研发，这些明显现在没有任何经济效益的事情，很大程度上就不会存在。
[01:16:50,717] Speaker 0: 而这大概也就是这期节目的意义。
[01:16:54,798] Speaker 0: 我也从来没有想到，我一个研究生物的，有一天会对能源会对世界局势会对电池这么感兴趣，感兴趣到我想把它分享给大家，感兴趣到我觉得我们应该要更多的讨论这些话题，这些既与我们日常每天的生活紧密相关，但又因为太过宏大，常常被忽略的话题。
[01:17:18,557] Speaker 0: 也许这些事情确实不需要我们关注，不需要我们理解，我们能做的也确实非常有限。
[01:17:26,717] Speaker 0: 但偶尔从日常琐碎的生活中抽身出来，来看一看来听一听这个世界的其他角落。
[01:17:34,717] Speaker 0: 为了给地球降温，人类都在忙些什么？
[01:17:37,837] Speaker 0: 也挺好。
[01:17:39,358] Speaker 0: 因为给地球降温这件事儿，每零点零零零零一度都有实际影响，每一盏关上的灯都有意义，而每一个理解了这件事儿的人都算数。
[01:17:52,557] Speaker 0: 如果你对这个话题感兴趣，欢迎你在。
[01:17:54,958] Speaker 0: show note找到我这期内容里提到的所有文献的相关链接。
[01:17:59,918] Speaker 0: 这次我尝试了一种全新的文献排版方式，你可以更清晰地看到每一个模块。
[01:18:06,398] Speaker 0: 我认为最重要的几篇文献都是什么，并且我引用的具体数字都来自哪一句话？
[01:18:13,118] Speaker 0: 之前我就只是简单的把所有文献的链接和简介贴了上去，但我发现对于真的对这个话题感兴趣的人，他们还是会时常摸不着头脑，不知道要从哪里开始读开始看。
[01:18:25,837] Speaker 0: 所以现在呢，你应该可以更清晰的找到你需要的资料。
[01:18:30,238] Speaker 0: 那和之前的节目一样，如果我在这期内容里有什么讲的不准确的地方，也特别欢迎大家在评论区指出。
[01:18:38,637] Speaker 0: 啊，这里也要再提一点，就是我知道可能很多的听友并不是在小宇宙上听这期节目的，但是如果你要看到所有的文献链接，大概率你还是得上小宇宙的官方网页，因为呢，在很多其他的平台外部链接是会被挡住的，或者说它的show note没有办法那么长给我写那么多东西，所以在这里我也要为小宇宙打call。
[01:19:03,998] Speaker 0: 以及，我也想要特别感谢巴斯夫对本期节目的支持。
[01:19:09,037] Speaker 0: 其实，我第一次听到巴斯夫这个名字是在做塑料那期的时候，当时我在研究。
[01:19:15,117] Speaker 0: 就塑料的降解和回收，那个时候就看到了他们的一个叫chem cycling的项目。
[01:19:20,798] Speaker 0: 这个项目做的事情简单来说就是把那些没办法机械回收的废旧塑料，通过热解工艺变成热解油，再重新送回生产链的最源头，替代化石原料，减少碳排放。
[01:19:34,078] Speaker 0: 我当时就觉得这不太像是一家传统化工企业在做的事，更像是一家在认真想着如何让化工本身变得可持续的企业。
[01:19:45,037] Speaker 0: 他们在做的方向是在保证甚至提升人类生活水准的同时，把化工生产的碳排放压到尽可能低，让化工产业也能成为给地球降温的一部分。
[01:19:58,158] Speaker 0: 而实际上，除了塑料回收，我们今天聊到的这些话题，巴斯夫也几乎都有在做。
[01:20:04,877] Speaker 0: 除了之前已经提到的太阳能，在可再生能源方面，他们在广东湛江投了八十七亿欧元建了一个一体化生产基地，今年三月刚全面投产，百分之百用来自风电光伏的绿色电力，碳排放比传统石化基地低了百分之五十。
[01:20:24,639] Speaker 0: 里面还有全球第一套主压缩机，百分之一百靠绿电驱动的乙烯装置。
[01:20:30,877] Speaker 0: 而在电池材料方面，他们是全球领先的锂离子电池正极活性材料供应商。
[01:20:36,958] Speaker 0: 去年还交付了首批半固态电池的正极材料，正好就是我们今天讲到的下一代的电池技术。
[01:20:44,479] Speaker 0: 在二氧化碳捕获方面，他们的工业级技术已经在液化天然气合成氨这些场景里商业化运营了，也在被授权给全球的第三方工业客户。
[01:20:55,118] Speaker 0: 帮高排放行业在现有的生产流程里减排，而这些技术背后也都是一个个具体的人。
[01:21:02,878] Speaker 0: 巴斯夫通过U at basf你在巴斯夫整体待遇体系关注每一位推动这些技术落地的人，从学习成长职业发展到身心健康与工作生活平衡，让每一个人都能在有意义的工作中持续成长。
[01:21:20,719] Speaker 0: 最后呢，再次感谢巴斯夫对本期节目的支持。
[01:21:24,637] Speaker 0: 希望在不远的未来，我们都能等到一个凉爽的夏日。
[01:21:31,917] Speaker 0: 感谢你收听这期碳基生物生存指南，我是爱读文献的梦妮，我们下期再见。
[01:21:40,639] Speaker 0: Today, I'm appealing for leadership from politicians, from business and scientists.
[01:21:47,439] Speaker 0: And from the public everywhere, we have the tools to make our actions effective.
[01:21:54,319] Speaker 0: What we still lack, even after the Paris Agreement, is the leadership and the ambition to do what is needed.
[01:22:03,439] Speaker 0: Every day we fail to act is a day that we step a little closer towards a fate that none of us want a fate that will resonate through generations in the damage.
[01:22:14,957] Speaker 0: done To humankind and life on Earth, our fate is in our hands.
[01:22:20,877] Speaker 0: The world is counting on all of us to rise to the challenge before it is too late.
[01:22:25,677] Speaker 0: I count on you all.
